Team1,Team2,Toss,Match days,Winner,Player of the Match,Margin,Ground,Match Date,ODI Int Match,Team1 Avg Batting Ranking,Team2 Avg Batting Ranking,Team1 Avg Bowling Ranking,Team2 Avg Bowling Ranking,Team1 Total CTs participated,Team1 Total CTs won,Team2 Total CTs participated,Team2 Total CTs won,Team1 W/L ratio over Team2
Australia,Pakistan,"Australia, elected to field first",day,Australia,Michael Hussey,2 wickets,Centurion,"Sep 30, 2009",ODI # 2903,80.53,77.33,74.2,68,5,1,5,0,1.586
England,New Zealand,"New Zealand, elected to field first",daynight,New Zealand,Grant Elliott,4 wickets,Johannesburg,"Sep 29, 2009",ODI # 2902,80,84.2,80.2,75.6,5,0,5,1,0.852
Australia,India,"Australia, elected to bat first",daynight,no result,,,Centurion,"Sep 28, 2009",ODI # 2901,82.47,73.93,74.13,82.67,5,1,5,1,1.781
South Africa,England,"England, elected to bat first",daynight,England,Owais Shah,22 runs,Centurion,"Sep 27, 2009",ODI # 2900,68.27,81.33,80.53,80.33,5,1,5,0,1.466
New Zealand,Sri Lanka,"Sri Lanka, elected to field first",day,New Zealand,Daniel Vettori,38 runs,Johannesburg,"Sep 27, 2009",ODI # 2899,84.6,74.07,76,76,5,1,5,1,1.096
India,Pakistan,"Pakistan, elected to bat first",daynight,Pakistan,Shoaib Malik,54 runs,Centurion,"Sep 26, 2009",ODI # 2898,74.67,77.07,82.87,69.07,5,1,5,0,0.661
Australia,West Indies,"West Indies, elected to field first",day,Australia,Mitchell Johnson,50 runs,Johannesburg,"Sep 26, 2009",ODI # 2897,81.67,101,74.33,98.8,5,1,5,1,1.017
England,Sri Lanka,"England, elected to field first",daynight,England,Paul Collingwood,6 wickets,Johannesburg,"Sep 25, 2009",ODI # 2896,82.33,74.53,80.93,75.87,5,0,5,1,0.789
South Africa,New Zealand,"South Africa, elected to field first",day,South Africa,Wayne Parnell,5 wickets,Centurion,"Sep 24, 2009",ODI # 2895,68.8,85.13,82.33,75.87,5,1,5,1,1.705
Pakistan,West Indies,"West Indies, elected to bat first",daynight,Pakistan,Umar Akmal,5 wickets,Johannesburg,"Sep 23, 2009",ODI # 2894,78.07,101,70.07,98.73,5,0,5,1,0.734
South Africa,Sri Lanka,"South Africa, elected to field first",daynight,Sri Lanka,Tillakaratne Dilshan,55 runs,Centurion,"Sep 22, 2009",ODI # 2893,68.2,74.73,82,76.33,5,1,5,1,1.047
England,India,"England, elected to field first",day,India,Ravindra Jadeja,5 runs,Birmingham,"Jun 23, 2013",ODI # 3377,70,70.8,71.53,79.93,6,0,6,1,0.76
India,Sri Lanka,"India, elected to field first",day,India,Ishant Sharma,8 wickets,Cardiff,"Jun 20, 2013",ODI # 3376,71.8,78.07,81.27,74.2,6,1,6,1,1.442
England,South Africa,"England, elected to field first",day,England,James Tredwell,7 wickets,The Oval,"Jun 19, 2013",ODI # 3375,70.2,85.33,72.27,79.8,6,0,5,1,0.84
Australia,Sri Lanka,"Australia, elected to field first",daynight,Sri Lanka,Mahela Jayawardene,20 runs,The Oval,"Jun 17, 2013",ODI # 3374,72.53,78.8,74.4,74.2,6,2,6,1,1.833
England,New Zealand,"New Zealand, elected to field first",day,England,Alastair Cook,10 runs,Cardiff,"Jun 16, 2013",ODI # 3373,69.87,77.27,72.6,75.27,6,0,6,1,0.842
India,Pakistan,"India, elected to field first",day,India,Bhuvneshwar Kumar,8 wickets,Birmingham,"Jun 15, 2013",ODI # 3372,73.53,81.67,82.27,76.8,6,1,6,0,0.69
South Africa,West Indies,"West Indies, elected to field first",day,tied,Colin Ingram,,Cardiff,"Jun 14, 2013",ODI # 3371,85.67,78.27,79.87,73.47,6,1,6,1,3.166
England,Sri Lanka,"Sri Lanka, elected to field first",daynight,Sri Lanka,Kumar Sangakkara,7 wickets,The Oval,"Jun 13, 2013",ODI # 3370,70.6,78.8,67.33,74.6,6,0,6,1,1.083
Australia,New Zealand,"Australia, elected to bat first",day,no result,,,Birmingham,"Jun 12, 2013",ODI # 3369,73.47,77.4,74.47,76.13,6,2,6,1,2.5
India,West Indies,"India, elected to field first",day,India,Ravindra Jadeja,8 wickets,The Oval,"Jun 11, 2013",ODI # 3368,75.6,76.47,83.53,73.2,6,1,6,1,0.807
Pakistan,South Africa,"South Africa, elected to bat first",daynight,South Africa,Hashim Amla,67 runs,Birmingham,"Jun 10, 2013",ODI # 3367,79.93,85.87,76.87,80.6,6,0,6,1,0.487
